id_openalex,doi,titulo,ano,data_pub,idioma,tipo,is_oa,citacoes,fwci,resumo,periodico,issn,front_matter
https://openalex.org/W1510554065,NA,Desigualdades raciais no brasil,1977,1977-01-01,pt,article,TRUE,30,0,NA,DADOS_Revista_de_Ciencias_Sociais,1678-4588,FALSE
https://openalex.org/W2769786555,NA,Estratificacao social e educacao: caminhos e alternativas para o homem do campo,1977,1977-01-01,pt,article,TRUE,2,0,NA,DADOS_Revista_de_Ciencias_Sociais,1678-4588,FALSE
https://openalex.org/W113802537,NA,Pontos de vista sobre os indios brasileiros: um ensaio bibliografico,1977,1977-01-01,pt,article,TRUE,3,0,NA,DADOS_Revista_de_Ciencias_Sociais,1678-4588,FALSE
https://openalex.org/W1605181620,NA,Quem representa o carioca,1977,1977-01-01,pt,article,TRUE,2,0,NA,DADOS_Revista_de_Ciencias_Sociais,1678-4588,FALSE
https://openalex.org/W1557840740,NA,Saude nos planos nacionais de desenvolvimento,1977,1977-01-01,pt,article,TRUE,2,0,NA,DADOS_Revista_de_Ciencias_Sociais,1678-4588,FALSE
https://openalex.org/W1506940400,NA,Fixacao e elaboracao de papeis: uma contribuicao a teoria,1977,1977-01-01,pt,article,TRUE,1,2.7818,NA,DADOS_Revista_de_Ciencias_Sociais,1678-4588,FALSE
https://openalex.org/W1542812190,NA,"Empresariado, tipos de capitalismo e ordem politica",1977,1977-01-01,pt,article,TRUE,1,0,NA,DADOS_Revista_de_Ciencias_Sociais,1678-4588,FALSE
https://openalex.org/W2737731571,NA,O processo de formacao das classes,1977,1977-01-01,pt,article,TRUE,1,0,NA,DADOS_Revista_de_Ciencias_Sociais,1678-4588,FALSE
https://openalex.org/W2741431150,NA,Notas sobre a questao da autonomia tecnologica na economia brasileira,1977,1977-01-01,pt,article,TRUE,1,0,NA,DADOS_Revista_de_Ciencias_Sociais,1678-4588,FALSE
https://openalex.org/W3080148711,NA,Mudanca politica e processo decisorio: analise da politica orcamentaria brasileira,1977,1977-01-01,pt,article,TRUE,1,0,NA,DADOS_Revista_de_Ciencias_Sociais,1678-4588,FALSE
https://openalex.org/W1500529616,NA,A formacao do estado brasileiro no seculo XIX,1977,1977-01-01,pt,article,TRUE,0,0,NA,DADOS_Revista_de_Ciencias_Sociais,1678-4588,FALSE
https://openalex.org/W1523277794,NA,Tempo social e urbanizaco,1977,1977-01-01,pt,article,TRUE,0,0,NA,DADOS_Revista_de_Ciencias_Sociais,1678-4588,FALSE
https://openalex.org/W29779334,NA,O ensino pos-graduado de ciencia politica no brasil,1977,1977-01-01,pt,article,TRUE,0,0,NA,DADOS_Revista_de_Ciencias_Sociais,1678-4588,FALSE
https://openalex.org/W3080418325,NA,Magnitude das empresas e diferenciacao da estrutura industrial: caracterizacao da industria paulista na decada de 30,1977,1977-01-01,pt,article,TRUE,0,0,NA,DADOS_Revista_de_Ciencias_Sociais,1678-4588,FALSE
https://openalex.org/W82905692,NA,"Divisao do trabalho, tecnologia e estratificacao social",1977,1977-01-01,pt,article,TRUE,0,0,NA,DADOS_Revista_de_Ciencias_Sociais,1678-4588,FALSE
https://openalex.org/W2276294974,NA,Os homens livres de cor na sociedade escravista brasileira,1978,1978-01-01,pt,article,TRUE,16,0,NA,DADOS_Revista_de_Ciencias_Sociais,1678-4588,FALSE
https://openalex.org/W2951121324,NA,"Legislativo, politica e recrutamento de elites no brasil",1978,1978-01-01,pt,article,TRUE,24,0,NA,DADOS_Revista_de_Ciencias_Sociais,1678-4588,FALSE
https://openalex.org/W1535631904,NA,Estudos sobre sindicalismo e movimento operario: resenha de algumas tendencias,1978,1978-01-01,pt,article,TRUE,11,0,NA,DADOS_Revista_de_Ciencias_Sociais,1678-4588,FALSE
https://openalex.org/W3081143735,NA,"Partidos politicos, representacao e processo eleitoral no brasil, 1945-1978",1978,1978-01-01,pt,article,TRUE,5,0,NA,DADOS_Revista_de_Ciencias_Sociais,1678-4588,FALSE
https://openalex.org/W3080381065,NA,"Intervencoes sindicais e o ""novo sindicalismo""",1978,1978-01-01,pt,article,TRUE,2,0,NA,DADOS_Revista_de_Ciencias_Sociais,1678-4588,FALSE
https://openalex.org/W2745606444,NA,Revolucao de 1930: uma bibliografia comentada,1978,1978-01-01,pt,article,TRUE,1,0,NA,DADOS_Revista_de_Ciencias_Sociais,1678-4588,FALSE
